session_id,target
1,0.009783
2,0.000057
3,0.000017
4,0.000454
5,0.001025
6,0.006780
7,0.014099
8,0.005338
9,0.007125
10,0.083929
11,0.001471
12,0.001305
13,0.003421
14,0.240989
15,0.003639
16,0.010672
17,0.007926
18,0.001150
19,0.005635
20,0.000117
21,0.026553
22,0.000202
23,0.001116
24,0.009210
25,0.076756
26,0.000217
27,0.008380
28,0.000438
29,0.007817
30,0.002777
31,0.005316
32,0.037435
33,0.006966
34,0.000215
35,0.009208
36,0.001472
37,0.000115
38,0.000091
39,0.002777
40,0.000906
41,0.006159
42,0.002434
43,0.001062
44,0.000470
45,0.038939
46,0.000739
47,0.010996
48,0.002671
49,0.001432
50,0.002604
51,0.000143
52,0.000740
53,0.025191
54,0.002380
55,0.002576
56,0.016225
57,0.000416
58,0.004277
59,0.000422
60,0.000145
61,0.002008
62,0.015067
63,0.001975
64,0.005067
65,0.000345
66,0.000134
67,0.010532
68,0.001921
69,0.085515
70,0.005483
71,0.002845
72,0.000422
73,0.045692
74,0.000057
75,0.000842
76,0.004045
77,0.008193
78,0.004920
79,0.001297
80,0.000775
81,0.002806
82,0.003473
83,0.000342
84,0.125873
85,0.000801
86,0.000189
87,0.008025
88,0.003716
89,0.008964
90,0.041963
91,0.002703
92,0.000285
93,0.029799
94,0.009130
95,0.025463
96,0.000080
97,0.003759
98,0.002842
99,0.002559
100,0.001407
101,0.008928
102,0.056087
103,0.012754
104,0.010856
105,0.000746
106,0.004695
107,0.010843
108,0.000460
109,0.001608
110,0.002547
111,0.004353
112,0.000383
113,0.010892
114,0.000531
115,0.005407
116,0.000980
117,0.007753
118,0.010288
119,0.003134
120,0.003790
121,0.001455
122,0.002777
123,0.004288
124,0.000754
125,0.003250
126,0.000126
127,0.000099
128,0.009591
129,0.006217
130,0.008182
131,0.008381
132,0.014099
133,0.002551
134,0.000976
135,0.000657
136,0.005067
137,0.008061
138,0.007929
139,0.000314
140,0.008187
141,0.000033
142,0.008155
143,0.007313
144,0.015589
145,0.000057
146,0.010888
147,0.011407
